,PREFERRED_NAME,SMILES,SIZE,standardized SMILES,INCHIKEY
162,5:3 ketone aldehyde,C(C=O)C(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,47,O=CCC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNNRSTICVGKBFL-UHFFFAOYSA-N
163,3-OH-5:3 acid,C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O)C(=O)O,49,O=C(O)CC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,USTCZZNESVCBNI-UHFFFAOYSA-N
164,3-fluoro 5:3 acid,C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F)C(=O)O,49,O=C(O)CC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,VRDYFGAPTXONQX-UHFFFAOYSA-N
165,6:2 FTS_425,C(=C\S(=O)(=O)[O-])/C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,63,O=S(=O)([O-])C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DPLOQFIHXVSMMN-UHFFFAOYSA-M
166,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-],54,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ZWBAMYVPMDSJGQ-UHFFFAOYSA-M
167,6:2 FTS_393,C(C(=O)[O-])(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,58,O=C([O-])C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,VKPVCRZYYZODHS-UHFFFAOYSA-M
168,6:2 FTS_intermediate3,[C-](=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,51,O=[C-]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,KTUFOTFGTBQEJN-UHFFFAOYSA-N
169,6:2 FTS_443,C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)S(=O)(=O)[O-],63,O=S(=O)([O-])CC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HIURNVGOZFXYRH-UHFFFAOYSA-M
170,6:2 FTS_intermediate2,[CH-](C=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,53,O=C[CH-]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OLJUFLRPXWPIQQ-UHFFFAOYSA-N
171,6:2 FTS_441,C(C(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)S(=O)(=O)[O-],64,O=C(CS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,RYYZCEGLQCTTCQ-UHFFFAOYSA-M
172,6:2 FTS_intermediate1,C(C[O-])C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,51,[O-]CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,SZIBBSGBFMPQGM-UHFFFAOYSA-N
173,6:2 FTCA,C(C(=O)[O-])C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,55,O=C([O-])CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,LRWIIEJPCFNNCZ-UHFFFAOYSA-M
174,6:2 FTUA,C(=C(/C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)\F)/C(=O)O,53,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,BKOBFLVYTXYFQZ-UHFFFAOYSA-N
175,6:2 FTUSA,C(=C\S(=O)(=O)O)/C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,60,O=S(=O)(O)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DPLOQFIHXVSMMN-UHFFFAOYSA-N
176,5:3 FT amide-AcA,C(CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)NCC(=O)O,53,O=C(O)CNC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MDBSKXYEOFBNES-UHFFFAOYSA-N
177,6:2 FTSO2H,C(CS(=O)=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,54,O=[SH](=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,WPWKKWMVUWXXFN-UHFFFAOYSA-N
178,6:2 FTSAS-SO2,CC(C)(CS(=O)(=O)[O-])NC(=O)CCS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,83,CC(C)(CS(=O)(=O)[O-])NC(=O)CCS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,RZBHYDQKJKDSNP-UHFFFAOYSA-M
179,6:2 FTSH,C(CS)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,48,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,GTPHVVCYEWPQFE-UHFFFAOYSA-N
180,6:2 FTSAS,CC(C)(CS(=O)(=O)[O-])NC(=O)CCSCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,75,CC(C)(CS(=O)(=O)[O-])NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DKVATWZCDNHYCW-UHFFFAOYSA-M
181,6:2 FTSAS-SO,CC(C)(CS(=O)(=O)[O-])NC(=O)CCS(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,79,CC(C)(CS(=O)(=O)[O-])NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,AQNDOJSDPBVJMJ-UHFFFAOYSA-M
182,6:2 FtSOAoS,CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,76,CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,AQNDOJSDPBVJMJ-UHFFFAOYSA-N
183,6:2 FtTAoS,CC(C)(CS(=O)(=O)O)NC(=O)CCSCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,72,CC(C)(CS(=O)(=O)O)NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DKVATWZCDNHYCW-UHFFFAOYSA-N
184,6:2 monoPAP,C(COP(=O)(O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,57,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FZTRDYSPWWJCOF-UHFFFAOYSA-N
185,6:2 diPAP,C(COP(=O)(O)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,102,O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ZDYYWMSLMLTXDM-UHFFFAOYSA-N
186,7:3 FTCA_357b,C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O)C(=O)[O-],52,O=C([O-])CC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,USTCZZNESVCBNI-UHFFFAOYSA-M
187,7:3 FTCA_389,C(=C\C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)/C(=O)[O-],59,O=C([O-])C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PYWWUCKTKBAQOL-UHFFFAOYSA-M
