,Unnamed: 0,PREFERRED_NAME,SMILES,SIZE,SIZE_CATEGORY,standardized SMILES,INCHIKEY,TSNE1,TSNE2
349,345,FOSA,C(C(C(C(C(F)(F)S(=O)(=O)[NH-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,73,big,[NH-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ADORIDAQIIRSBL-UHFFFAOYSA-N,8.383228154659358,7.545102194035845
350,346,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,72,big,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,YFSUTJLHUFNCNZ-UHFFFAOYSA-M,-9.62307602,5.471686454689571
351,347,FOSAA,C(C(=O)[O-])[N-]S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,82,big,O=C([O-])C[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,QGEMXTYOKLJLNR-UHFFFAOYSA-M,30.784784497436544,-3.715436328
352,348,Sulfonamide Propionate,C(C[N-]S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)[O-],83,big,O=C([O-])CC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,QQZSDCQDSWTJEX-UHFFFAOYSA-M,31.91994619267448,2.4457714829803603
353,349,PFOSB,C[N+](C)(CCC[N-]S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CC(=O)[O-],93,very big,C[N+](C)(CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],SBCCVBSXHKQBRP-UHFFFAOYSA-M,17.01086878377495,-2.657820493
354,350,S-OHPrAmPr-FHxSA,C[N+](C)(CCCNS(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CC(CS(=O)(=O)O)O,82,big,C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)CS(=O)(=O)O,MEXQEENXUFLERY-UHFFFAOYSA-O,-27.25488442,3.3387752063016403
355,351,MeFHxSA,CN(C)S(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,57,medium,CN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,XXWVQQPYWSIJGT-UHFFFAOYSA-N,29.56271157471226,0.7574211148198683
356,352,S-OHPrAmPr-FHxSA-OHPrS,C[N+](C)(CCCN(CC(CS(=O)(=O)O)O)S(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CC(CS(=O)(=O)O)O,100,very big,C[N+](C)(CCCN(CC(O)CS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)CS(=O)(=O)O,HQILQIXAHVRCNF-UHFFFAOYSA-O,-27.39045132,3.3437612652234527
357,353,SAmPAP Monoester,CCN(CCOP(=O)(O)O)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,83,big,CCN(CCOP(=O)(O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,JRSUJBJSUYPODE-UHFFFAOYSA-N,26.070628506991998,1.8390333279253528
358,354,SAmPAP Diester,CCN(CCOP(=O)(O)OCCN(CC)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,156,very big,CCN(CCOP(=O)(O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,BZZAKKWGRKFWJJ-UHFFFAOYSA-N,29.119784309459742,1.3856765508371445
359,355,SPr-FHxSA,C(CNS(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CS(=O)(=O)O,68,big,O=S(=O)(O)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,IFYYQLFVVGOIPH-UHFFFAOYSA-N,-33.448783,-8.49447335
360,356,SPrAmPr-FHxSA,C[N+](C)(CCCNS(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CCCS(=O)(=O)O,79,big,C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCS(=O)(=O)O,HQZMVHMXSNFQPY-UHFFFAOYSA-O,-33.56484481,-7.721150235
361,357,SPrAmPr-FHxSAA,C[N+](C)(CCCN(CC(=O)O)S(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CCCS(=O)(=O)O,88,big,C[N+](C)(CCCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCS(=O)(=O)O,ULXXTBSQAWPGEP-UHFFFAOYSA-O,30.042157095767415,-0.126682469
362,358,SPrAmPr-FHxSAPrS,C[N+](C)(CCCN(CCCS(=O)(=O)O)S(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CCCS(=O)(=O)O,94,very big,C[N+](C)(CCCN(CCCS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCS(=O)(=O)O,XJWXHAVPVAKYGX-UHFFFAOYSA-O,30.273358993906427,0.002220259
363,359,OAmPr-FBSA,C[N+](C)(CCC[N-]S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)[O-],59,medium,C[N+](C)([O-])CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,LLPGAPCUVRRSDF-UHFFFAOYSA-N,31.177645290620507,-2.134437756
364,360,TAmPr-FBSA,C[N+](C)(C)CCC[N-]S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,56,medium,C[N+](C)(C)CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,BJPYLMDBQHZKRL-UHFFFAOYSA-N,32.080170928126556,2.685701467477092
365,361,TAmPr-FBSA-AA,C[N+](C)(C)CCCN(CC(=O)[O-])S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,65,big,C[N+](C)(C)CCCN(CC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,AUKCOJGVBNCPSH-UHFFFAOYSA-N,29.378873538185278,0.402250358
366,362,TAmPr-FHxSA-AA,C[N+](C)(C)CCCN(CC(=O)[O-])S(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,79,big,C[N+](C)(C)CCCN(CC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PHLQZHXBMDKUNG-UHFFFAOYSA-N,29.380095467630333,0.4603411661867218
367,363,TAmPr-FHxSA,C[N+](C)(C)CCC[N-]S(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,70,big,C[N+](C)(C)CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,IYEGKHOUXHEZTH-UHFFFAOYSA-N,-9.80272576,7.584908021426552
368,364,TAmPr-FPeSA,C[N+](C)(C)CCC[N-]S(=O)(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,63,big,C[N+](C)(C)CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,VDIXZEWCLSWEQX-UHFFFAOYSA-N,32.10847156196444,2.590755173782181
369,365,OAmPr-FPeSA,C[N+](C)(CCC[N-]S(=O)(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-],66,big,C[N+](C)([O-])CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HPMSTWOEZBYACQ-UHFFFAOYSA-N,31.197016146343156,-2.020442713
370,366,AmPr-FPeSA,C[NH+](C)CCC[N-]S(=O)(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,61,big,C[NH+](C)CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,LOXRPANBDRJCBX-UHFFFAOYSA-O,-8.918695373,7.0686840951028636
371,367,TAmPr-FPeSA-AA,C[N+](C)(C)CCCN(CC(=O)[O-])S(=O)(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,72,big,C[N+](C)(C)CCCN(CC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,AFGCUTYSZLJLTN-UHFFFAOYSA-N,29.19956427384858,0.3885237465273626
372,368,"Toluene-2,4-di(8:2 fluorotelomer urethane)",CC1=CC=C(C=C1NC(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)NC(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,146,very big,Cc1ccc(NC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1NC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,WXFBMNOVXVBRPY-UHFFFAOYSA-N,29.984934531232238,-1.761981542
373,369,FESOH,C(CSC(C(F)OC(C(C(F)(F)F)(F)F)(F)F)(F)F)O,40,medium,OCCSC(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F,LHDNIAQMOXWLLQ-UHFFFAOYSA-N,28.387703931005188,4.298593237699173
