,Unnamed: 0,SMILES,standardized SMILES,INCHIKEY,TSNE1,TSNE2
235,231,C[NH+](C)CCC[N-]S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C[NH+](C)CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OGAXFAAPWWGEJM-UHFFFAOYSA-O,31.09541321658752,-1.4008366715796035
236,232,C(C(C(F)(F)S(=O)=O)(F)F)(C(F)(F)F)(F)F,O=[SH](=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DEYRYUICBQQZQU-UHFFFAOYSA-N,30.279693146954052,-0.5367352355059914
237,233,C[N+](C)(CCCNS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)[O-],C[N+](C)([O-])CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HQIKMYJOLJOSOX-UHFFFAOYSA-N,-23.680626673741056,-6.6049675337697895
238,234,C(CNS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(=O)O,O=C(O)CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,RJBFXGSENMVGCH-UHFFFAOYSA-N,18.991390535008648,-6.204624968604769
239,235,C[NH2+]CCC[N-]S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C[NH2+]CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HMEUNEIWXBGMMV-UHFFFAOYSA-O,29.954094348315913,-9.96794959788154
240,236,C[NH+](C)CCCN(CCC(=O)[O-])S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C[NH+](C)CCCN(CCC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GYXGVPIUSNEEIR-UHFFFAOYSA-N,30.27599610295251,-0.18315813023959018
241,237,C(C(=O)O)NS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,O=C(O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,IIJKOWPVAXZAKE-UHFFFAOYSA-N,19.26565121677242,-13.982636101133505
242,238,C(C[N+])C[N-]S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,[N+]CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NNOIKUHREDVWAI-UHFFFAOYSA-N,-4.0112415629406275,21.910945838068418
243,239,C(C(C(F)(F)S(=O)(=O)N)(F)F)(C(F)(F)F)(F)F,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FUVKFLJWBHVMHX-UHFFFAOYSA-N,-6.17003320988972,0.010709546438546809
244,240,CN(CC(=O)O)S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,SKGBGOQHXBAKKO-UHFFFAOYSA-N,-12.59461116259481,9.541714000317164
245,241,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,JGTNAGYHADQMCM-UHFFFAOYSA-N,-15.457076020143145,0.17901462207466431
246,242,CCN(CC(=O)O)S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PAOHBPWWJXVFBM-UHFFFAOYSA-N,26.371902241978272,1.956507240667928
247,243,CN(CC(=O)O)S(=O)(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,LPJOBWYEYHXLOK-UHFFFAOYSA-N,30.012339720797197,0.7203473730617457
248,244,C[N+](C)(CCCNS(=O)(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-],C[N+](C)([O-])CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,IKTYOVKWKVJAFP-UHFFFAOYSA-N,-13.264450317860364,-0.5589550186406589
249,245,C(CNS(=O)(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O,O=C(O)CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,YCIUMGKHNFKNSR-UHFFFAOYSA-N,-33.124062808825094,-6.411013524159201
250,246,C(C(=O)O)NS(=O)(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,O=C(O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,LAAXCIZXZCKWFF-UHFFFAOYSA-N,27.784626641184303,16.301243155250482
251,247,C[NH+](C)CCC[N-]S(=O)(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C[NH+](C)CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MXMAWYGDOPJTGG-UHFFFAOYSA-O,15.203695593697296,-11.492768203910831
252,248,CCN(CC(=O)O)S(=O)(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,IOQHTIQMCISFKB-UHFFFAOYSA-N,7.340218883713931,17.715867969204844
253,249,C[N+](C)CCCN(CCC(=O)[O-])S(=O)(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C[N+](C)CCCN(CCC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,VFMMVOCUMGRBTL-UHFFFAOYSA-M,27.12992703347796,16.298946959358315
254,250,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OYGQVDSRYXATEL-UHFFFAOYSA-N,27.480945776130167,15.885668293638735
255,251,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)=O)(F)F)(F)F)(F)F,O=[SH](=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HIGWWAXSYVZPJR-UHFFFAOYSA-N,-2.827012960999679,-19.831469182324003
256,252,C(C[N+])C[N-]S(=O)(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,[N+]CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,IAHHLQZMNITZCX-UHFFFAOYSA-N,19.790240829897353,0.4770996230800726
257,253,C[NH2+]CCC[N-]S(=O)(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C[NH2+]CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CGXZSBXMTGIUIW-UHFFFAOYSA-O,30.67296380863967,-3.7196751722249353
258,254,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ZYBNLNNCZHCXAC-UHFFFAOYSA-N,4.605494442793696,3.0846306781386557
259,255,CN(C)CCCNS(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,INDOGKYZYLAGEM-UHFFFAOYSA-N,-8.99992609176133,-7.068325061150165
260,256,CCN(CC(=O)O)S(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ISFCQODURJEALJ-UHFFFAOYSA-N,26.473712679230854,1.9809940153961783
261,257,C(C(C(C(F)(F)S(=O)=O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,O=[SH](=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MBOVYIOUPFHQAO-UHFFFAOYSA-N,-3.4610061376256125,-14.792014956527437
262,258,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,QZHDEAJFRJCDMF-UHFFFAOYSA-N,27.400731708383567,15.650916611173752
263,259,C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,WDZLGCSJJWEQJO-UHFFFAOYSA-N,27.140899359337187,16.09517844287936
