PREFERRED_NAME,INCHIKEY,SMILES
"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoro-N-(4-nitrophenyl)heptanamide",ZVYZWOLDZMWXAQ-UHFFFAOYSA-N,c1cc(ccc1NC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N(=O)=O
"2,2,3,3,4,4,5,5,5-Nonafluoro-N-(4-nitrophenyl)pentanamide",ODCGSXFIHQYHBY-UHFFFAOYSA-N,c1cc(ccc1NC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O
N-(4-Nitrophenyl)perfluorobutanamide,HQOLLMKLYTYSHA-UHFFFAOYSA-N,c1cc(ccc1NC(=O)C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O
"N-(2,4-Dinitrophenyl)-2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propanamide",NVOHYTMPHXLVPF-UHFFFAOYSA-N,c1cc(c(cc1N(=O)=O)N(=O)=O)N=C(C(C(F)(F)F)(F)OC(C(C(F)(F)F)(F)F)(F)F)O
4-Nitrophenyl heptafluorobutanoate,HEVDQVCIAUCJDV-UHFFFAOYSA-N,c1cc(ccc1N(=O)=O)OC(=O)C(C(C(F)(F)F)(F)F)(F)F
"1-Nitro-4-[(2,2,3,3,4,4,5,5,6,6,6-undecafluorohexyl)oxy]benzene",RGOZNZUAXTXBNG-UHFFFAOYSA-N,c1cc(ccc1N(=O)=O)OCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
"1-(2,2,3,3,4,4,4-Heptafluorobutoxy)-4-nitrobenzene",AZABPWAOUQABLY-UHFFFAOYSA-N,c1cc(ccc1N(=O)=O)OCC(C(C(F)(F)F)(F)F)(F)F
2-(Heptafluoropropyl)-6-nitro-1H-benzimidazole,IXFBWEUABZKVQQ-UHFFFAOYSA-N,c1cc2c(cc1N(=O)=O)[nH]c(C(C(C(F)(F)F)(F)F)(F)F)n2
"3,3,4,4,5,5,6,6,6-Nonafluoro-1-nitrohex-1-en-2-amine",ZLFGSBKCGQBTKE-UHFFFAOYSA-N,C(C(=N)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O
"1,1,1,2,2,3,3-heptafluoro-5-nitro-4-(nitromethyl)pentane",PAESHGHUQXDFGZ-UHFFFAOYSA-N,C(C(CN(=O)=O)C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O
